binary_field,intermediate_path,table_path
IExufan,signal.parsed.v1.raw.IExufan,hvac.fact_raw.payload_json.raw.IExufan
IgRsv38,signal.parsed.v1.raw.IgRsv38,hvac.fact_raw.payload_json.raw.IgRsv38
IgRsv39,signal.parsed.v1.raw.IgRsv39,hvac.fact_raw.payload_json.raw.IgRsv39
Dwpower,signal.parsed.v1.raw.Dwpower,hvac.fact_raw.payload_json.raw.Dwpower
DwemergOpTm,signal.parsed.v1.raw.DwemergOpTm,hvac.fact_raw.payload_json.raw.DwemergOpTm
DwemergOpCnt,signal.parsed.v1.raw.DwemergOpCnt,hvac.fact_raw.payload_json.raw.DwemergOpCnt
DwefOpTmU11,signal.parsed.v1.raw.DwefOpTmU11,hvac.fact_raw.payload_json.raw.DwefOpTmU11
IgRsv40,signal.parsed.v1.raw.IgRsv40,hvac.fact_raw.payload_json.raw.IgRsv40
DwcfOpTmU11,signal.parsed.v1.raw.DwcfOpTmU11,hvac.fact_raw.payload_json.raw.DwcfOpTmU11
IgRsv41,signal.parsed.v1.raw.IgRsv41,hvac.fact_raw.payload_json.raw.IgRsv41
DwcpOpTmU11,signal.parsed.v1.raw.DwcpOpTmU11,hvac.fact_raw.payload_json.raw.DwcpOpTmU11
DwcpOpTmU12,signal.parsed.v1.raw.DwcpOpTmU12,hvac.fact_raw.payload_json.raw.DwcpOpTmU12
IgRsv42,signal.parsed.v1.raw.IgRsv42,hvac.fact_raw.payload_json.raw.IgRsv42
IgRsv43,signal.parsed.v1.raw.IgRsv43,hvac.fact_raw.payload_json.raw.IgRsv43
DwfadOpCntU1,signal.parsed.v1.raw.DwfadOpCntU1,hvac.fact_raw.payload_json.raw.DwfadOpCntU1
DwradOpCntU1,signal.parsed.v1.raw.DwradOpCntU1,hvac.fact_raw.payload_json.raw.DwradOpCntU1
DwefOpCntU11,signal.parsed.v1.raw.DwefOpCntU11,hvac.fact_raw.payload_json.raw.DwefOpCntU11
IgRsv44,signal.parsed.v1.raw.IgRsv44,hvac.fact_raw.payload_json.raw.IgRsv44
DwcfOpCntU11,signal.parsed.v1.raw.DwcfOpCntU11,hvac.fact_raw.payload_json.raw.DwcfOpCntU11
IgRsv45,signal.parsed.v1.raw.IgRsv45,hvac.fact_raw.payload_json.raw.IgRsv45
DwcpOpCntU11,signal.parsed.v1.raw.DwcpOpCntU11,hvac.fact_raw.payload_json.raw.DwcpOpCntU11
DwcpOpCntU12,signal.parsed.v1.raw.DwcpOpCntU12,hvac.fact_raw.payload_json.raw.DwcpOpCntU12
IgRsv46,signal.parsed.v1.raw.IgRsv46,hvac.fact_raw.payload_json.raw.IgRsv46
IgRsv47,signal.parsed.v1.raw.IgRsv47,hvac.fact_raw.payload_json.raw.IgRsv47
DwefOpTmU21,signal.parsed.v1.raw.DwefOpTmU21,hvac.fact_raw.payload_json.raw.DwefOpTmU21
IgRsv48,signal.parsed.v1.raw.IgRsv48,hvac.fact_raw.payload_json.raw.IgRsv48
DwcfOpTmU21,signal.parsed.v1.raw.DwcfOpTmU21,hvac.fact_raw.payload_json.raw.DwcfOpTmU21
IgRsv49,signal.parsed.v1.raw.IgRsv49,hvac.fact_raw.payload_json.raw.IgRsv49
DwcpOpTmU21,signal.parsed.v1.raw.DwcpOpTmU21,hvac.fact_raw.payload_json.raw.DwcpOpTmU21
DwcpOpTmU22,signal.parsed.v1.raw.DwcpOpTmU22,hvac.fact_raw.payload_json.raw.DwcpOpTmU22
IgRsv50,signal.parsed.v1.raw.IgRsv50,hvac.fact_raw.payload_json.raw.IgRsv50
IgRsv51,signal.parsed.v1.raw.IgRsv51,hvac.fact_raw.payload_json.raw.IgRsv51
DwfadOpCntU2,signal.parsed.v1.raw.DwfadOpCntU2,hvac.fact_raw.payload_json.raw.DwfadOpCntU2
DwradOpCntU2,signal.parsed.v1.raw.DwradOpCntU2,hvac.fact_raw.payload_json.raw.DwradOpCntU2
DwefOpCntU21,signal.parsed.v1.raw.DwefOpCntU21,hvac.fact_raw.payload_json.raw.DwefOpCntU21
IgRsv52,signal.parsed.v1.raw.IgRsv52,hvac.fact_raw.payload_json.raw.IgRsv52
DwcfOpCntU21,signal.parsed.v1.raw.DwcfOpCntU21,hvac.fact_raw.payload_json.raw.DwcfOpCntU21
IgRsv53,signal.parsed.v1.raw.IgRsv53,hvac.fact_raw.payload_json.raw.IgRsv53
DwcpOpCntU21,signal.parsed.v1.raw.DwcpOpCntU21,hvac.fact_raw.payload_json.raw.DwcpOpCntU21
DwcpOpCntU22,signal.parsed.v1.raw.DwcpOpCntU22,hvac.fact_raw.payload_json.raw.DwcpOpCntU22
IgRsv54,signal.parsed.v1.raw.IgRsv54,hvac.fact_raw.payload_json.raw.IgRsv54
IgRsv55,signal.parsed.v1.raw.IgRsv55,hvac.fact_raw.payload_json.raw.IgRsv55
DwexufanOpTm,signal.parsed.v1.raw.DwexufanOpTm,hvac.fact_raw.payload_json.raw.DwexufanOpTm
DwexufanOpCnt,signal.parsed.v1.raw.DwexufanOpCnt,hvac.fact_raw.payload_json.raw.DwexufanOpCnt
DwdmpexuOpCnt,signal.parsed.v1.raw.DwdmpexuOpCnt,hvac.fact_raw.payload_json.raw.DwdmpexuOpCnt
IgRsv56,signal.parsed.v1.raw.IgRsv56,hvac.fact_raw.payload_json.raw.IgRsv56
IgRsv57,signal.parsed.v1.raw.IgRsv57,hvac.fact_raw.payload_json.raw.IgRsv57
IgRsv58,signal.parsed.v1.raw.IgRsv58,hvac.fact_raw.payload_json.raw.IgRsv58
IgRsv59,signal.parsed.v1.raw.IgRsv59,hvac.fact_raw.payload_json.raw.IgRsv59
IgRsv60,signal.parsed.v1.raw.IgRsv60,hvac.fact_raw.payload_json.raw.IgRsv60
IgRsv61,signal.parsed.v1.raw.IgRsv61,hvac.fact_raw.payload_json.raw.IgRsv61
IgRsv62,signal.parsed.v1.raw.IgRsv62,hvac.fact_raw.payload_json.raw.IgRsv62
IgRsv63,signal.parsed.v1.raw.IgRsv63,hvac.fact_raw.payload_json.raw.IgRsv63
IgRsv64,signal.parsed.v1.raw.IgRsv64,hvac.fact_raw.payload_json.raw.IgRsv64
IgRsv65,signal.parsed.v1.raw.IgRsv65,hvac.fact_raw.payload_json.raw.IgRsv65
IgRsv66,signal.parsed.v1.raw.IgRsv66,hvac.fact_raw.payload_json.raw.IgRsv66
IgRsv67,signal.parsed.v1.raw.IgRsv67,hvac.fact_raw.payload_json.raw.IgRsv67
IgRsv68,signal.parsed.v1.raw.IgRsv68,hvac.fact_raw.payload_json.raw.IgRsv68
DmpExuPos,signal.parsed.v1.raw.DmpExuPos,hvac.fact_raw.payload_json.raw.DmpExuPos
StartStation,signal.parsed.v1.raw.StartStation,hvac.fact_raw.payload_json.raw.StartStation
TerminalStation,signal.parsed.v1.raw.TerminalStation,hvac.fact_raw.payload_json.raw.TerminalStation
CurStation,signal.parsed.v1.raw.CurStation,hvac.fact_raw.payload_json.raw.CurStation
NextStation,signal.parsed.v1.raw.NextStation,hvac.fact_raw.payload_json.raw.NextStation
