binary_field,intermediate_path,table_path
CfbkExufan,signal.parsed.v1.raw.CfbkExufan,hvac.fact_raw.payload_json.raw.CfbkExufan
IgRsv9,signal.parsed.v1.raw.IgRsv9,hvac.fact_raw.payload_json.raw.IgRsv9
IgRsv10,signal.parsed.v1.raw.IgRsv10,hvac.fact_raw.payload_json.raw.IgRsv10
BocfltEfU11,signal.parsed.v1.raw.BocfltEfU11,hvac.fact_raw.payload_json.raw.BocfltEfU11
BocfltEfU12,signal.parsed.v1.raw.BocfltEfU12,hvac.fact_raw.payload_json.raw.BocfltEfU12
BocfltCfU11,signal.parsed.v1.raw.BocfltCfU11,hvac.fact_raw.payload_json.raw.BocfltCfU11
BocfltCfU12,signal.parsed.v1.raw.BocfltCfU12,hvac.fact_raw.payload_json.raw.BocfltCfU12
BfltVfdU11,signal.parsed.v1.raw.BfltVfdU11,hvac.fact_raw.payload_json.raw.BfltVfdU11
BfltVfdComU11,signal.parsed.v1.raw.BfltVfdComU11,hvac.fact_raw.payload_json.raw.BfltVfdComU11
BfltVfdU12,signal.parsed.v1.raw.BfltVfdU12,hvac.fact_raw.payload_json.raw.BfltVfdU12
BfltVfdComU12,signal.parsed.v1.raw.BfltVfdComU12,hvac.fact_raw.payload_json.raw.BfltVfdComU12
BlpfltCompU11,signal.parsed.v1.raw.BlpfltCompU11,hvac.fact_raw.payload_json.raw.BlpfltCompU11
BscfltCompU11,signal.parsed.v1.raw.BscfltCompU11,hvac.fact_raw.payload_json.raw.BscfltCompU11
BscfltVentU11,signal.parsed.v1.raw.BscfltVentU11,hvac.fact_raw.payload_json.raw.BscfltVentU11
BlpfltCompU12,signal.parsed.v1.raw.BlpfltCompU12,hvac.fact_raw.payload_json.raw.BlpfltCompU12
BscfltCompU12,signal.parsed.v1.raw.BscfltCompU12,hvac.fact_raw.payload_json.raw.BscfltCompU12
BscfltVentU12,signal.parsed.v1.raw.BscfltVentU12,hvac.fact_raw.payload_json.raw.BscfltVentU12
BfltFadU11,signal.parsed.v1.raw.BfltFadU11,hvac.fact_raw.payload_json.raw.BfltFadU11
BfltFadU12,signal.parsed.v1.raw.BfltFadU12,hvac.fact_raw.payload_json.raw.BfltFadU12
IgRsv11,signal.parsed.v1.raw.IgRsv11,hvac.fact_raw.payload_json.raw.IgRsv11
IgRsv12,signal.parsed.v1.raw.IgRsv12,hvac.fact_raw.payload_json.raw.IgRsv12
BfltRadU11,signal.parsed.v1.raw.BfltRadU11,hvac.fact_raw.payload_json.raw.BfltRadU11
BfltRadU12,signal.parsed.v1.raw.BfltRadU12,hvac.fact_raw.payload_json.raw.BfltRadU12
IgRsv13,signal.parsed.v1.raw.IgRsv13,hvac.fact_raw.payload_json.raw.IgRsv13
IgRsv14,signal.parsed.v1.raw.IgRsv14,hvac.fact_raw.payload_json.raw.IgRsv14
BfltApU11,signal.parsed.v1.raw.BfltApU11,hvac.fact_raw.payload_json.raw.BfltApU11
IgRsv15,signal.parsed.v1.raw.IgRsv15,hvac.fact_raw.payload_json.raw.IgRsv15
BfltExpboardU1,signal.parsed.v1.raw.BfltExpboardU1,hvac.fact_raw.payload_json.raw.BfltExpboardU1
